X;Y;Z;W;iter;
-0.3375;-1.14286;-0.253968;0.126984;1;
-0.3375;-1.14286;-0.253968;0.253968;1;
-0.3375;-1.14286;-0.126984;0.126984;1;
-0.3375;-1.14286;-0.126984;0.253968;1;
-0.3375;-1.14286;0;0.126984;1;
-0.3375;-1.14286;0;0.253968;1;
-0.3375;-1.01587;-0.63492;0;1;
-0.3375;-1.01587;-0.507936;0;1;
-0.3375;-1.01587;-0.507936;0.126984;1;
-0.3375;-1.01587;-0.380952;0;1;
-0.3375;-1.01587;-0.380952;0.126984;1;
-0.3375;-1.01587;-0.380952;0.253968;1;
-0.3375;-1.01587;-0.253968;0.126984;1;
-0.3375;-1.01587;-0.253968;0.253968;1;
-0.3375;-1.01587;-0.126984;0.253968;1;
-0.3375;-1.01587;-0.126984;0.380952;1;
-0.3375;-1.01587;0;0.253968;1;
-0.3375;-1.01587;0;0.380952;1;
-0.3375;-0.888888;-0.63492;0;1;
-0.3375;-0.888888;-0.63492;0.126984;1;
-0.3375;-0.888888;-0.507936;0;1;
-0.3375;-0.888888;-0.507936;0.126984;1;
-0.3375;-0.888888;-0.507936;0.253968;1;
-0.3375;-0.888888;-0.380952;0.126984;1;
-0.3375;-0.888888;-0.380952;0.253968;1;
-0.3375;-0.888888;-0.380952;0.380952;1;
-0.3375;-0.888888;-0.253968;0.253968;1;
-0.3375;-0.888888;-0.253968;0.380952;1;
-0.3375;-0.888888;-0.126984;0.253968;1;
-0.3375;-0.888888;-0.126984;0.380952;1;
-0.3375;-0.888888;0;0.380952;1;
-0.3375;-0.761904;-0.761904;0;1;
-0.3375;-0.761904;-0.761904;0.126984;1;
-0.3375;-0.761904;-0.63492;0;1;
-0.3375;-0.761904;-0.63492;0.126984;1;
-0.3375;-0.761904;-0.63492;0.253968;1;
-0.3375;-0.761904;-0.63492;0.380952;1;
-0.3375;-0.761904;-0.507936;0.126984;1;
-0.3375;-0.761904;-0.507936;0.253968;1;
-0.3375;-0.761904;-0.507936;0.380952;1;
-0.3375;-0.761904;-0.507936;0.507937;1;
-0.3375;-0.761904;-0.380952;0.253968;1;
-0.3375;-0.761904;-0.380952;0.380952;1;
-0.3375;-0.761904;-0.380952;0.507937;1;
-0.3375;-0.761904;-0.253968;0.380952;1;
-0.3375;-0.761904;-0.253968;0.507937;1;
-0.3375;-0.761904;-0.126984;0.380952;1;
-0.3375;-0.761904;-0.126984;0.507937;1;
-0.3375;-0.761904;0;0.380952;1;
-0.3375;-0.761904;0;0.507937;1;
-0.3375;-0.63492;-0.888888;0;1;
-0.3375;-0.63492;-0.761904;0;1;
-0.3375;-0.63492;-0.761904;0.126984;1;
-0.3375;-0.63492;-0.761904;0.253968;1;
-0.3375;-0.63492;-0.761904;0.380952;1;
-0.3375;-0.63492;-0.761904;0.507937;1;
-0.3375;-0.63492;-0.63492;0.126984;1;
